Name,Address,Hours of Operation,Reviews,Category Type,Price Review
Goodwill Thrift Store & Donation Center,3910 N 27th St,Monday-Saturday: 10 a.m.-7 p.m. and Sunday: 11 a.m.- 6 p.m.,3/5 (13 Reviews;Yelp),"Clothing, Houseware, Furniture, Electronics, Media, and More.",$$$/5 (Depending on the item(s)
Goodwill Thrift Store & Donation Center,1700 S 17th St,Monday-Saturday: 10 a.m.-7 p.m. and Sunday: 11 a.m.- 6 p.m.,No Reviews (Based on Yelp),"Clothing, Houseware, Furniture, Electronics, Media, and More.",$$$/5 (Depending on the item(s)
Goodwill Thrift Store & Donation Center,4555 Vine St,Monday-Saturday: 10 a.m.-7 p.m. and Sunday: 11 a.m.- 6 p.m.,No Reviews (Based on Yelp),"Clothing, Houseware, Furniture, Electronics, Media, and More.",$$$/5 (Depending on the item(s)
Goodwill Thrift Store & Donation Center,6300 Apples Way,Monday-Saturday: 10 a.m.-7 p.m. and Sunday: 11 a.m.- 6 p.m.,No Reviews (Based on Yelp),"Clothing, Houseware, Furniture, Electronics, Media, and More.",$$$/5 (Depending on the item(s)
Bud's Thrift Shoppe,2226 O St,"Monday-Friday: 10 a.m.-5 p.m., Saturday: 10 a.m.-3 p.m., Sunday: Closed",No Reviews (Based on Yelp),"Clothing, and Furniture",$$/5
St. Louise Gift & Thrift Store,2201 O St.,"Tuesday-Friday: 10 a.m-5 p.m., Saturday 10 a.m.-1 p.m., and Sunday-Monday: Closed",No Reviews (Based on Yelp),"Clothing, Houseware, Furniture, Electronics, Media, and More.",$$/5
Great Plains VTG,"701 P St, 104","Monday: 1 p.m.-5 p.m., Tuesday-Friday: 12 p.m.-7 p.m., Saturday: 11 a.m.-8 p.m., Sunday: 12 p.m.-5 p.m.",No Reviews (Based on Yelp),Clothing,$$$$/5
Transformations Thrift Store,1241 S 14th St,"Tuesday-Friday: 10 a.m.-5:30 p.m., Saturday: 12 p.m.-5 p.m. and Sunday-Monday: Closed",No Reviews (Based on Yelp),"Clothing, Shoes, Kitchenware, Decor, and more",$$/5
The Daisy Thrift Shop-A Boutique for Women,6433 Havelock Ave,"Wednesday-Thursday: 4 p.m.-6 p.m., Friday-Saturday: 10 a.m.- 4 p.m., Sunday-Tuesday: Closed",4.5/5 (2 Reviews based on Yelp),"Clothing, Shoes, Purses",$/5
Better Ways Thrift,5700 Old Cheney Rd,"Sunday-Friday: 12 p.m.-5 p.m., Saturday: Closed",No Reviews (Based on Yelp),"Clothing, Houseware, Furniture",$$/5
Cause for Paws,2445 S 48th St,"Monday-Saturday: 10 a.m.-5 p.m., Sunday: 1 p.m.-4 p.m.",No Reviews (Based on Yelp),"Clothes, Houseware, Dog Toys and more",$$$/5
Ruby Begonias,1321 P St,"Monday-Friday: 1p.m.-6 p.m, Saturday: 12 p.m.-6 p.m., Sunday: 1 p.m.-5 p.m.",4.5/5 (11 Reviews based on Yelp),Clothing,$$/5
St. Teresa Thrift Shop,366 N 48th St,"Sunday-Thursday: Closed, Friday: 4 p.m.-8 p.m., Saturday: 9 a.m.-3 p.m.",No Reviews (Based on Yelp),Clothing,$$/5
